"blastomere","bin","day_mid","n_internal_nodes","n_ge1","pct_ge1","n_ge2","pct_ge2","n_ge1_indep","pct_ge1_indep","n_ge2_indep","pct_ge2_indep","n_ge3_indep","pct_ge3_indep"
"A","[0,1]",0.5,0,0,NA,0,NA,0,NA,0,NA,0,NA
"A","(1,2]",1.5,1,1,100,1,100,1,100,1,100,1,100
"A","(2,3]",2.5,0,0,NA,0,NA,0,NA,0,NA,0,NA
"A","(3,4]",3.5,0,0,NA,0,NA,0,NA,0,NA,0,NA
"A","(4,5]",4.5,1,0,0,0,0,0,0,0,0,0,0
"A","(5,6]",5.5,35,5,14.2857142857143,2,5.71428571428571,5,14.2857142857143,1,2.85714285714286,1,2.85714285714286
"A","(6,7]",6.5,1827,884,48.3853311439518,524,28.6808976464149,884,48.3853311439518,412,22.5506294471812,213,11.6584564860427
"A","(7,8]",7.5,14286,10116,70.8105837883242,7376,51.6309673806524,10116,70.8105837883242,6024,42.1671566568669,3154,22.077558448831
"A","(8,9]",8.5,31252,24675,78.9549468833995,19700,63.0359656981953,24675,78.9549468833995,16563,52.9982081146807,9650,30.8780238064764
"A","(9,10]",9.5,49448,39539,79.9607668662029,32967,66.6700372108073,39539,79.9607668662029,27962,56.5482931564472,17272,34.9296230383433
"A","(10,11]",10.5,70574,56194,79.6242242185507,47625,67.4823589423867,56194,79.6242242185507,39963,56.6256695100179,24819,35.1673420806529
"A","(11,12]",11.5,87393,69279,79.2729394802787,58203,66.5991555387731,69279,79.2729394802787,48257,55.2183813348895,28875,33.0404036936597
"A","(12,13]",12.5,99455,77680,78.1056759338394,65078,65.4346186717611,77680,78.1056759338394,52964,53.2542355839324,30488,30.6550701322206
"A","(13,14]",13.5,51900,39412,75.9383429672447,31187,60.0905587668593,39412,75.9383429672447,23652,45.5722543352601,12374,23.8420038535645
"B","[0,1]",0.5,0,0,NA,0,NA,0,NA,0,NA,0,NA
"B","(1,2]",1.5,1,1,100,1,100,1,100,1,100,1,100
"B","(2,3]",2.5,0,0,NA,0,NA,0,NA,0,NA,0,NA
"B","(3,4]",3.5,0,0,NA,0,NA,0,NA,0,NA,0,NA
"B","(4,5]",4.5,2,0,0,0,0,0,0,0,0,0,0
"B","(5,6]",5.5,59,8,13.5593220338983,6,10.1694915254237,8,13.5593220338983,3,5.08474576271186,1,1.69491525423729
"B","(6,7]",6.5,1727,733,42.4435437174291,431,24.9565720903301,733,42.4435437174291,289,16.7342211928199,121,7.00636942675159
"B","(7,8]",7.5,12373,8594,69.4576901317385,6174,49.8989735714863,8594,69.4576901317385,5051,40.8227592338156,2723,22.0075971874242
"B","(8,9]",8.5,24407,19570,80.1819150243783,15741,64.4937927643709,19570,80.1819150243783,13921,57.036915638956,8692,35.6127340517065
"B","(9,10]",9.5,35880,29799,83.051839464883,25314,70.551839464883,29799,83.051839464883,22699,63.2636566332218,15300,42.6421404682274
"B","(10,11]",10.5,47117,39275,83.3563257423011,33831,71.8021096419551,39275,83.3563257423011,30144,63.976908546809,20693,43.9183309633466
"B","(11,12]",11.5,50371,42123,83.6254987989121,36374,72.2121855829743,42123,83.6254987989121,32152,63.8303785908559,21367,42.4192491711501
"B","(12,13]",12.5,48590,39829,81.9695410578308,34341,70.6750360156411,39829,81.9695410578308,29795,61.3192014817864,19447,40.0226384029636
"B","(13,14]",13.5,22228,16338,73.5018895087277,12699,57.1306460320317,16338,73.5018895087277,10409,46.8283246355947,6089,27.3933777217923
